primary_type,name,address,city,neighborhood,lat,lng,phone,website,rating,total_reviews,price_level
establishment,The American School of Asuncion,"Augusto Roa Bastos Esquina, Asunción 1760, Paraguay",Asunción,,-25.2845278,-57.5802543,(021) 236 4000,http://www.asa.edu.py/,0.0,0,
establishment,St. Anne's School / Colegio Santa Anna,"PCRW+23J, Manuel P Gonzalez, Asunción 001522, Paraguay",Asunción,,-25.259923,-57.5548595,(021) 295 649,https://sas-teach.com/sas.edu.py24/,0.0,0,
establishment,Colegio Técnico Cerro Corá,"PCV8+2XW, Avenida, Asunción 001519, Paraguay",Asunción,,-25.2573843,-57.58253329999999,(021) 282 170,http://www.mec.gov.py/,4.4,25,
establishment,Asunción Christian Academy,"Santisimo Sacramento 1181, Asunción 001534, Paraguay",Asunción,,-25.2787466,-57.58664100000001,(021) 338 1009,http://www.aca.edu.py/,4.4,25,
establishment,Colegio Técnico Nacional de Asunción,"R.I. 3 Corrales c/ Dr. Hassler, Campos Cervera, Asunción 001416, Paraguay",Asunción,,-25.300953,-57.57130900000001,(021) 608 663,,4.7,338,
establishment,Colegio de la Asunción,"MFJ9+Q3X, Fernando de la Mora 110310, Paraguay",Fernando de la Mora,Fernando Zona Norte,-25.3180198,-57.53225279999999,(021) 680 913,http://cas.edu.py/,4.7,124,
establishment,Colegio Goethe,"esquina, Cnel. Alejo Silva & Tte. 1º Carlos Rocholl, Asunción 001402, Paraguay",Asunción,,-25.2834081,-57.5561818,(021) 662 546,http://www.goethe.edu.py,0.0,0,
establishment,The CCPA School,"Vicente Flores, Asunción 001525, Paraguay",Asunción,,-25.2699279,-57.56220689999999,(021) 615 160,http://www.ccpaschool.edu.py/,0.0,0,
establishment,Educational Center San Ignacio de Loyola,"Av. Venezuela esq, Asunción 001534, Paraguay",Asunción,,-25.267025,-57.5918332,0972 295870,http://www.sil.edu.py/,0.0,0,
establishment,Deutsche Schule Concordia,"Prof. César Samaniego casi, Asunción 001534, Paraguay",Asunción,,-25.2722381,-57.5879596,(021) 291 370,https://www.concordia.edu.py/,0.0,0,
establishment,Colegio Las Almenas,"001412, Manuel del Castillo 682, Asunción 001412, Paraguay",Asunción,,-25.2961945,-57.58721929999999,(021) 604 055,http://lasalmenas.edu.py/,0.0,0,
establishment,Technical College Javier,"Itapua 148, Asunción 001531, Paraguay",Asunción,,-25.2650988,-57.5815206,(021) 296 187,http://www.ctj.edu.py/,0.0,0,
establishment,Lumen School,"PCPH+W8Q, Congreso de Colombia, Asunción 001521, Paraguay",Asunción,,-25.2626595,-57.5716484,(021) 283 483,http://colegiolumen.edu.py/,0.0,0,
establishment,Albert Einstein School,"Olegario Víctor Andrade, Asunción 001407, Paraguay",Asunción,,-25.3001627,-57.56167730000001,(021) 613 781,http://www.aes.edu.py/,4.1,22,
establishment,Escuela Nacional de Comercio N°1 Alfonso B. Campos,"Sicilia 249 &, Chile y, Asunción 001102, Paraguay",Asunción,,-25.2929227,-57.64203879999999,0971 759988,,4.6,77,
establishment,CDI COLEGIO,"Asunción 001202, Paraguay",Asunción,,-25.2664792,-57.6015969,,https://cdi.org.py/,4.9,50,
establishment,Colegio Aula Viva,"Santisimo Sacramento 1345, Asunción 001534, Paraguay",Asunción,,-25.2759414,-57.5857484,0982 429050,https://aulaviva.edu.py/,0.0,0,
establishment,TEIJ,"PCVG+556, Juana Pabla Carrillo de López, Asunción 001519, Paraguay",Asunción,,-25.2570875,-57.57459849999999,0981 292124,https://instagram.com/escuela_teij?igshid=MzRlODBiNWFlZA==,4.7,19,
establishment,Colegio Internacional,"P96M+5PM, Rio De Janeiro, Asunción 001209, Paraguay",Asunción,,-25.2895378,-57.6157098,(021) 200 675,https://inter.edu.py/,0.0,0,
establishment,Colegio Privado del Sol,"MCWQ+G2P, Dr. Justo Prieto 260, Asunción 001417, Paraguay",Asunción,,-25.3045079,-57.5630237,(021) 512 617,https://www.colegiodelsol.edu.py/,0.0,0,
establishment,"""Doña Francisca Eloisa Duarte"" Primary School N°962","PCPM+GRV, Asunción 001521, Paraguay",Asunción,,-25.2636322,-57.56545120000001,(021) 291 399,,0.0,0,
establishment,Escuela Basica Nro. 19 Rca. Oriental Del Uruguay,"PCR9+PF7, Avenida, Asunción 001519, Paraguay",Asunción,,-25.2582189,-57.58133970000001,(021) 290 345,,0.0,0,
establishment,Escuela Básica. N° 7269 Padre José María Vélaz de Fe y Alegría,"PCX9+RPV, Av. Primer Presidente, Asunción 001512, Paraguay",Asunción,,-25.2503751,-57.58068839999999,0986 804338,https://www.feyalegria.org/paraguay/escuela-padre-jose-maria-velaz/,0.0,0,
establishment,Esc. Básica N°434 Juan Eudoro Cáceres,"Epifanio Mendez Fleitas esq, Asunción 001428, Paraguay",Asunción,,-25.3200098,-57.57525520000001,0985 242454,,0.0,0,
establishment,Roberto Schaerer,"Bruselas 1767, Asunción 001410, Paraguay",Asunción,,-25.2872461,-57.5700198,0991 870225,,0.0,0,
establishment,School First President,"Escuela No 661 ler Presidente, Asunción 001525, Paraguay",Asunción,,-25.2683765,-57.55711770000001,(021) 282 083,,0.0,0,
establishment,파라과이한국학교(Colegio Coreano del Paraguay),"Padre Juan N. Casanello esq, Asunción 001238, Paraguay",Asunción,,-25.3095797,-57.6299528,(021) 310 052,https://pycolegiocoreano.net/,0.0,0,
establishment,ESCUELA BÁSICA N°4865 CENTRO EDUCATIVO CAMPO VERDE,"Samuhu Nº 4865Campoverde, Asunción 001426, Paraguay",Asunción,,-25.320845,-57.583251,(021) 522 001,http://www.schooloftomorrow.org.py/,4.5,34,
establishment,CEPPE Centro De Enseñanza Primaria Y Preescolar,"Herminio Giménez esq, Asunción 001228, Paraguay",Asunción,,-25.3017701,-57.60744889999999,0986 789547,,0.0,0,
establishment,Escuela Basica Santa Sofia,"P97H+VX2, Av. España 457, Asunción 001217, Paraguay",Asunción,,-25.2852778,-57.62,(021) 225 035,,0.0,0,
establishment,Basic School No.9 Adela Speratti,"Av. España 1566, Asunción 001208, Paraguay",Asunción,,-25.2884427,-57.60787409999999,(021) 204 713,,0.0,0,
establishment,National school Dr. Juan Manuel Frutos,"Estados Unidos e/ Tatajyba &, Aca Yuasa, Asunción 001106, Paraguay",Asunción,,-25.3063946,-57.6402057,(021) 372 395,https://www.facebook.com/juanmanuel.frutos.33,0.0,0,
establishment,Colegio Campoalto,"Las Perlas 4686, Asunción 001412, Paraguay",Asunción,,-25.300194,-57.587836,(021) 608 587,http://www.campoalto.edu.py/,0.0,0,
establishment,Colegio Nacional Pdte Dr José Patricio Guggiari,"PCFM+56H, Asunción 001527, Paraguay",Asunción,,-25.2770654,-57.56689189999999,(021) 606 075,,0.0,0,
establishment,National School of Commerce no. 2,"y, Cerro Corá &, Gral. Elizardo Aquino, Asunción 001225, Paraguay",Asunción,,-25.2940791,-57.6172545,(021) 223 195,https://facebook.com/encn2/,3.8,17,
establishment,Higher Education Center María Serrana,"QF43+C62, Carlos Antonio López, Asunción 2050, Paraguay",Asunción,,-25.2439972,-57.5469872,(021) 297 113,http://www.serrana.edu.py/v2/,0.0,0,
establishment,Alpha College Paraguay,"Av Gral Máximo Santos, Asunción 001310, Paraguay",Asunción,,-25.3247186,-57.623999,0974 854386,http://www.alphacollege.edu.py/,4.1,133,
establishment,Colegio Dr. Jose Gaspar Rodriguez de Francia,"Dr. Gaspar Rodriguez de Francia, Oliva, Asunción 001011, Paraguay",Asunción,,-25.2782675,-57.6444285,(021) 493 614,http://colegionacionaldrfrancia.blogspot.com/,0.0,0,
establishment,Catholic Apostolic College San Jose,"MCGH+GR3, Av. Defensores del Chaco, Asunción 001428, Paraguay",Asunción,,-25.3256027,-57.567942,0971 324002,https://www.facebook.com/casjmedia/?locale=es_LA,0.0,0,
establishment,Virgin of Nazareth College,"Dr. Víctor Riquelme, Asunción 001423, Paraguay",Asunción,,-25.3203098,-57.59796060000001,(021) 552 524,,0.0,0,
establishment,Colegio Nac. E.M.D. Dr. Eduardo Alvarin Romero,"Colegio Publico Albarin Romero, Alberto De Sousa, Asunción 001413, Paraguay",Asunción,,-25.2998535,-57.58395969999999,(021) 605 601,,0.0,0,
establishment,Sister Eusebia Palomino Private school,"M9GH+P4R, Tte. 1ro. Brugada Doldán, Asunción 001310, Paraguay",Asunción,,-25.3231296,-57.6222427,(021) 332 092,https://palomino.edu.py/,0.0,0,
establishment,Divine Word College,"M9QV+462, Asunción 001234, Paraguay",Asunción,,-25.3122327,-57.60697469999999,(021) 551 446,,4.6,75,
establishment,Autonomous University of Asuncion,"Jejuí 667, Asunción 001013, Paraguay",Asunción,,-25.2873398,-57.6431273,(021) 495 873,http://www.uaa.edu.py/,4.5,549,
establishment,"Universidad Católica ""Nuestra Señora de la Asunción"" Sede Central","Cordillera de Amambay casi, Asunción 001101, Paraguay",Asunción,,-25.2807615,-57.63200129999999,(021) 318 4000,,3.9,283,
