name,type,lat,lng,address,phone,rating,reviews
Embassy of the United States,embassy,-25.2961879,-57.60477859999999,"Av. Mariscal López, Asunción 001228, Paraguay",(021) 213 715,4.5,183
Spanish Embassy in Paraguay,embassy,-25.2912251,-57.6170853,"Eligio Ayala, P95M+G53 001224, &, Asunción 001224, Paraguay",0972 431100,4.3,45
Embassy of Argentina,embassy,-25.2853609,-57.6169845,"P97M+V62, Av. España, Asunción 001217, Paraguay",(021) 212 320,4.5,80
Consulate General of Argentina,embassy,-25.2830584,-57.5637017,"4th floor, Av. Aviadores del Chaco 2351, Asunción 001527, Paraguay",,3.8,139
Embassy of Peru,embassy,-25.282206,-57.56914769999999,"Cesar Lopez Moreira 812, Asunción 001529, Paraguay",(021) 606 460,3,18
Embassy of Chile,embassy,-25.2997953,-57.5755331,"Capitán Nudelman 351, Asunción 001416, Paraguay",(021) 600 671,4,66
Brazilian Embassy,embassy,-25.29012,-57.6186669,"esquina, Eligio Ayala & Tte. Cnel. Irrazabal, P95J+XG4, Asunción 001224, Paraguay",(021) 248 4000,4.6,84
Embajada y Consulado de Costa Rica en Paraguay.,embassy,-25.2845057,-57.5571283,"Jaime Bestard 2732, Asunción 001402, Paraguay",(021) 600 554,4.8,6
Consulate General of Brazil,embassy,-25.292625,-57.61663850000001,"Av. Mariscal Estigarribia, nº 1856, Bairro, Asunción 001224, Paraguay",(021) 232 000,4.7,126
Embassy of Ecuador,embassy,-25.2783331,-57.58388530000001,"Dr. Antonio Bestard 861 esq, Asunción 001530, Paraguay",(021) 614 814,4.7,16
Mexico's embassy,embassy,-25.2860863,-57.57480409999999,"Av. España 1428, Asunción 001411, Paraguay",(021) 618 2000,4.4,58
Embajada de Cuba en Paraguay,embassy,-25.2841417,-57.6000147,"Luis Morales entre Fray Luis de León y Fray Luis de Granada, P98X+8XX, Asunción 001207, Paraguay",(021) 222 763,4.3,35
Embassy of Colombia,embassy,-25.2810611,-57.5682868,"PC9J+HMG, San Juan XXIII, Asunción 001527, Paraguay",(021) 661 144,4.8,49
Embassy of the Dominican Republic in Paraguay,embassy,-25.2917133,-57.6148475,"Juan Manuel Frutos Pane, Asunción 001209, Paraguay",(021) 213 143,4,6
Embassy of South Korea,embassy,-25.299799,-57.580291,"Av. República Argentina 678, Asunción 001412, Paraguay",(021) 605 606,4.5,35
Consulado General De Países Bajos En Paraguay,embassy,-25.2534682,-57.5804297,"PCW9+JR8, Av. Gral. José Gervasio Artigas, Asunción 001518, Paraguay",,4.3,4
Embajada y Consulado de India en Paraguay,embassy,-25.3125591,-57.5843381,"MCP8+X7F, Av. Eusebio Ayala, Asunción 001420, Paraguay",(021) 660 115,3.7,3
Japanese Embassy,embassy,-25.2910169,-57.59344229999999,"Av. Mariscal López 2364, Asunción 001412, Paraguay",(021) 604 616,4.7,61
Embassy of Bolivia,embassy,-25.2924017,-57.61214039999999,"P95Q+24Q, Rio De Janeiro, Asunción 001209, Paraguay",(021) 211 430,4.4,34
Embajada de la India,embassy,-25.2952218,-57.60679020000001,"P93V+W78, Av. Gral. Bernardino Caballero, Asunción 001228, Paraguay",(021) 237 8400,4.9,15
France embassy,embassy,-25.2862712,-57.61586130000001,"Avda General Santos 465 casi España, Asunción 001209, Paraguay",(021) 212 449,3.6,16
Embajada De Francia,embassy,-25.2923884,-57.60549249999999,"P95V+2RR, República Dominicana, Asunción 001208, Paraguay",,4.9,14
Embassy of Italy,embassy,-25.2981461,-57.5726838,"Quesada 5871, Asunción 001416, Paraguay",(021) 615 620,4.5,87
British Embassy Asunción,embassy,-25.2949427,-57.57935759999999,"Piso 5, Av. Mariscal López y, Asunción 1892, Paraguay",(021) 665 250,4.3,3
